state_key,action_key,action,game,round
"pub_('4',)_priv_('J', 'K')_-8.0_8_2",draw_deck_flip_2,"{'type': 'draw_deck', 'keep': False, 'flip_position': 2}",53,2
"pub_('4', 'J')_priv_('K',)_4.0_J_3",take_discard_1,"{'type': 'take_discard', 'position': 1}",53,3
"pub_('4', 'J', 'J')_priv_('K',)_-0.5_6_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",53,4
"pub_()_priv_('4', '9')_-7.0_10_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",54,1
"pub_('10',)_priv_('4', '9')_12.5_10_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",54,2
"pub_('10', '10')_priv_('4', '9')_-2.0_5_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",54,3
"pub_('10', '10', '5')_priv_('4',)_-6.5_9_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",54,4
"pub_()_priv_('9', 'K')_-4.0_9_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",55,1
"pub_('9',)_priv_('9', 'K')_0.0_9_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",55,2
"pub_('9', '9')_priv_('9', 'K')_-5.0_10_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",55,3
"pub_('10', '9', '9')_priv_('K',)_14.5_10_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",55,4
"pub_()_priv_('3', '7')_-10.0_10_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",56,1
"pub_('10',)_priv_('3', '7')_-8.5_8_2",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",56,2
"pub_('10', '3')_priv_('7',)_-2.0_A_3",take_discard_1,"{'type': 'take_discard', 'position': 1}",56,3
"pub_('10', '3', 'A')_priv_('7',)_-5.5_9_4",take_discard_2,"{'type': 'take_discard', 'position': 2}",56,4
"pub_()_priv_('4', '8')_-7.0_K_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",57,1
